sim_id,total_mass,ell,em,match,phase_diff_per_cycle,f_lower_mode
SXS:BBH:0162,80,2,1,0.22327289944931625,0.052837386707950684,7.188714955541852
SXS:BBH:0162,80,3,3,0.9956060600550787,0.019697101655933122,21.566144866625557
SXS:BBH:0162,80,4,4,0.9903132242391632,0.1921410495598408,28.754859822167408
SXS:BBH:0162,80,3,2,0.5248285031804343,0.013655941693943836,14.377429911083704
SXS:BBH:0162,80,4,3,0.42395745555369674,0.015418105328877342,21.566144866625557
SXS:BBH:0162,90,2,2,0.9967726916672984,0.0016380346412501624,12.77993769874107
SXS:BBH:0162,90,2,1,0.2196541934787615,0.03887992698514017,6.389968849370535
SXS:BBH:0162,90,3,3,0.99362914977382,0.009594694509385005,19.169906548111605
SXS:BBH:0162,90,4,4,0.9880814643637215,0.11595734766564306,25.55987539748214
SXS:BBH:0162,90,3,2,0.5177163318944957,0.0035856777728854035,12.77993769874107
SXS:BBH:0162,90,4,3,0.42675814741278484,0.005339960596184098,19.169906548111605
SXS:BBH:0162,100,2,2,0.9976366373648914,0.004741635585293485,11.501943928866963
SXS:BBH:0162,100,2,1,0.2315191997465023,0.04237070206314998,5.750971964433481
SXS:BBH:0162,100,3,3,0.9951892728344324,0.012753716166739662,17.252915893300443
SXS:BBH:0162,100,4,4,0.9896082410363718,0.11879989446502888,23.003887857733925
SXS:BBH:0162,100,3,2,0.5259929932975332,0.0068964013589732955,11.501943928866963
SXS:BBH:0162,100,4,3,0.42813364986438834,0.00833640645883695,17.252915893300443
